Experiment,rev,typ,Created,parent,State,sharpe_ratio,stdev,ir2,sortino_ratio,start,end,sharpe_ratio_full,stdev_full,ir2_full,sortino_ratio_full,start_full,end_full,general.asset,general.tfmin,general.performance_stat,general.datapath,general.raw_data,strategy.param.path,wf.param.path,wf.train_length,wf.test_length,wf.day_clip_front,wf.day_clip_back,wf.day_clip,general.timeframe,general.performance.stat,general.curr.tf.min.int,general.data.wip.path,master\data-raw\data_test_20180101_20190630.csv,master\data-raw\data_test_20180101_20190930.csv,master\data-raw\data_unseen_20191001_20210920.csv,master\data-raw\train_300klines.csv,master\data-raw\train_3mln.csv,master\data-wip\01_converted_to_xts.rds,master\data-wip\02_downsampled.rds,master\data-wip\03_precalculated.rds,master\data-wip\04_positions.rds,master\data-wip\05_pnl.rds,master\data-wip\06_wf_indexes.rds,master\data-wip\07_wf_metrics.rds,master\data-wip\0\60\02_downsampled.rds,master\data-wip\0\60\03_precalculated.rds,master\data-wip\0\60\04_positions.rds,master\data-wip\0\60\05_pnl.rds,master\data-wip\0\60\06_wf_indexes.rds,master\data-wip\0\60\07_wf_metrics.rds,master\data-wip\0\60\08_wf_best_params.rds,master\data-wip\1\10\01_converted_to_xts.rds,master\data-wip\1\10\02_downsampled.rds,master\data-wip\1\10\03_precalculated.rds,master\data-wip\1\10\04_positions.rds,master\data-wip\1\10\05_pnl.rds,master\data-wip\1\10\06_wf_indexes.rds,master\data-wip\1\10\07_wf_metrics.rds,master\data-wip\1\10\08_wf_best_params.rds,master\data-wip\1\15\02_downsampled.rds,master\data-wip\1\15\03_precalculated.rds,master\data-wip\1\15\04_positions.rds,master\data-wip\1\15\05_pnl.rds,master\data-wip\1\15\06_wf_indexes.rds,master\data-wip\1\15\07_wf_metrics.rds,master\data-wip\1\15\08_wf_best_params.rds,master\data-wip\1\1\02_downsampled.rds,master\data-wip\1\1\03_precalculated.rds,master\data-wip\1\1\04_positions.rds,master\data-wip\1\1\05_pnl.rds,master\data-wip\1\1\06_wf_indexes.rds,master\data-wip\1\1\07_wf_metrics.rds,master\data-wip\1\1\08_wf_best_params.rds,master\data-wip\1\20\02_downsampled.rds,master\data-wip\1\20\03_precalculated.rds,master\data-wip\1\20\04_positions.rds,master\data-wip\1\20\05_pnl.rds,master\data-wip\1\20\06_wf_indexes.rds,master\data-wip\1\20\07_wf_metrics.rds,master\data-wip\1\20\08_wf_best_params.rds,master\data-wip\1\2\01_converted_to_xts.rds,master\data-wip\1\2\02_downsampled.rds,master\data-wip\1\2\03_precalculated.rds,master\data-wip\1\2\04_positions.rds,master\data-wip\1\2\05_pnl.rds,master\data-wip\1\2\06_wf_indexes.rds,master\data-wip\1\2\07_wf_metrics.rds,master\data-wip\1\2\08_wf_best_params.rds,master\data-wip\1\30\02_downsampled.rds,master\data-wip\1\30\03_precalculated.rds,master\data-wip\1\30\04_positions.rds,master\data-wip\1\30\05_pnl.rds,master\data-wip\1\30\06_wf_indexes.rds,master\data-wip\1\30\07_wf_metrics.rds,master\data-wip\1\30\08_wf_best_params.rds,master\data-wip\1\3\02_downsampled.rds,master\data-wip\1\3\03_precalculated.rds,master\data-wip\1\3\04_positions.rds,master\data-wip\1\3\05_pnl.rds,master\data-wip\1\3\06_wf_indexes.rds,master\data-wip\1\3\07_wf_metrics.rds,master\data-wip\1\3\08_wf_best_params.rds,master\data-wip\1\5\02_downsampled.rds,master\data-wip\1\5\03_precalculated.rds,master\data-wip\1\5\04_positions.rds,master\data-wip\1\5\05_pnl.rds,master\data-wip\1\5\06_wf_indexes.rds,master\data-wip\1\5\07_wf_metrics.rds,master\data-wip\1\5\08_wf_best_params.rds,master\data-wip\1\60\02_downsampled.rds,master\data-wip\1\60\03_precalculated.rds,master\data-wip\1\60\04_positions.rds,master\data-wip\1\60\05_pnl.rds,master\data-wip\1\60\06_wf_indexes.rds,master\data-wip\1\60\07_wf_metrics.rds,master\data-wip\1\60\08_wf_best_params.rds,master\data-wip\1\7\02_downsampled.rds,master\data-wip\1\7\03_precalculated.rds,master\data-wip\1\7\04_positions.rds,master\data-wip\1\7\05_pnl.rds,master\data-wip\1\7\06_wf_indexes.rds,master\data-wip\1\7\07_wf_metrics.rds,master\data-wip\1\7\08_wf_best_params.rds,master\data-wip\6\60\02_downsampled.rds,master\data-wip\6\60\03_precalculated.rds,master\data-wip\6\60\04_positions.rds,master\data-wip\6\60\05_pnl.rds,master\data-wip\6\60\06_wf_indexes.rds,master\data-wip\6\60\07_wf_metrics.rds,master\data-wip\6\60\08_wf_best_params.rds,master\rcode\01_convert_to_xts.R,master\rcode\01_convert_to_xts.r,master\rcode\05_calculate_pnl.r,master\rcode\06_wf_calculate_indexes.R,master\rcode\06_wf_calculate_indexes.r,master\rcode\07_wf_calculate_metrics.r,master\rcode\08_wf_select_best_params.r,master\rcode\09_wf_eval_test.R,master\rcode\09_wf_eval_test.r,master\rcode\logic\.r,master\rcode\logic\WfHelper.r,master\rcode\logic\WfHelper.yaml,master\rcode\logic\helpers\data_helper.r,master\rcode\logic\helpers\metrics_helper.r,master\rcode\logic\strategy.r,master\rcode\logic\strategy_param.yaml
,f2edfba,baseline,2024-01-04T20:08:35,,,0.8368425,0.0077472,1.2114507,1.1937264,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,0.5708563,0.0084134,0.6367312,0.8048618,start 2018-01-19 07:59:00,end 2019-06-07 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190930.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,10,28,37,30,,,,,,,,,,,63da8fa68e81f8afef622a05846e7f08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,1a079d50f9a5a639a7683c232f3c6fa1,c5b79717ff1d1bef8857a6083c446783,efb635a65e2d1bde1f367dc3b36ed625,,,,,,,,,,,,,,,,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,,fd7bb4e82f332ef272f63ffdf495ace7,,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249
blear-taco,8374991,branch_commit,2024-01-05T14:35:40,,,1.3371098,0.0109687,4.2634751,1.9519392,start 2019-11-07 00:59:00,end 2021-08-22 23:59:00,1.3398803,0.0108603,4.465382,1.9608798,start 2019-10-23 06:59:00,end 2021-09-12 05:59:00,6,60,sharpe,./master/data-wip,master/data-raw/data_unseen_20191001_20210920.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,14,10,37,30,,,,,,,,e28d02b987e969f4423f60ff350f4a4f,,,3bd0883b7248ee5d98d0c00208ba102c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04c2fcf0ef6fdc8f073ec0e20c2f6b1e,d3c2cc0c89efc1926807df5e283deb3d,2ee99f8296061f9d6a33b33dca47b410,a9f682bc4710ccce37c263bbd20e157d,23a5a3fdcd3a5a8dc991dd2f5a57cca8,34d178031fd5bad53abf3730e214803d,fc5d477057cba3ad1371807beb2aa829,,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,,fd7bb4e82f332ef272f63ffdf495ace7,,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249
incog-caps,349bf04,branch_commit,2024-01-05T14:34:13,,,1.1064495,0.0087783,2.6274789,1.6248771,start 2019-11-07 00:59:00,end 2021-08-22 23:59:00,0.9713215,0.0087403,2.1238679,1.4249272,start 2019-10-23 06:59:00,end 2021-09-12 05:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_unseen_20191001_20210920.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,14,10,37,30,,,,,,,,e28d02b987e969f4423f60ff350f4a4f,,,3bd0883b7248ee5d98d0c00208ba102c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a69453a3f9d4f1d5336229884a308157,6525e9a55c39145f3f219486d32c1d05,fca90816f5f945dffe43e3d6e6808ec5,dbd59ba55245b0795a72b19f1f3ee688,23a5a3fdcd3a5a8dc991dd2f5a57cca8,967f2620e00b1a6fd8bacd6ca9b1e05d,b819456aa8872c05cb31ae859b814e58,,,,,,,,,,,,,,,,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,,fd7bb4e82f332ef272f63ffdf495ace7,,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249
crack-torc,aec8aa0,branch_commit,2024-01-05T14:32:58,,,1.2084764,0.0109703,2.0650911,1.766933,start 2019-11-07 00:59:00,end 2021-08-22 23:59:00,1.0428101,0.0108193,1.6207236,1.5205762,start 2019-10-16 06:59:00,end 2021-09-15 05:59:00,6,60,sharpe,./master/data-wip,master/data-raw/data_unseen_20191001_20210920.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,7,28,37,30,,,,,,,,e28d02b987e969f4423f60ff350f4a4f,,,3bd0883b7248ee5d98d0c00208ba102c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04c2fcf0ef6fdc8f073ec0e20c2f6b1e,d3c2cc0c89efc1926807df5e283deb3d,2ee99f8296061f9d6a33b33dca47b410,a9f682bc4710ccce37c263bbd20e157d,699c63c6b8f95b7d9d5d098cfdbdbadf,c22e6449503020307b0ba53f30d9200d,9bf8f8e82ef49fcaa2856f02bf3e86b4,,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,,fd7bb4e82f332ef272f63ffdf495ace7,,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249
ochre-expo,4c8cd99,branch_base,2024-01-05T14:31:27,,,0.8307068,0.0087819,1.3191393,1.2198012,start 2019-11-07 00:59:00,end 2021-08-22 23:59:00,0.5790367,0.0087088,0.5229402,0.8486369,start 2019-10-16 06:59:00,end 2021-09-15 05:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_unseen_20191001_20210920.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,7,28,37,30,,,,,,,,e28d02b987e969f4423f60ff350f4a4f,,,3bd0883b7248ee5d98d0c00208ba102c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a69453a3f9d4f1d5336229884a308157,6525e9a55c39145f3f219486d32c1d05,fca90816f5f945dffe43e3d6e6808ec5,dbd59ba55245b0795a72b19f1f3ee688,699c63c6b8f95b7d9d5d098cfdbdbadf,8af30eb33ba73dfd82755ca4a589a14c,1707f2f3bd58fdb7806f7a8e4b18e0c6,,,,,,,,,,,,,,,,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,,fd7bb4e82f332ef272f63ffdf495ace7,,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249
,f1ad69b,baseline,2024-01-04T20:07:31,,,0.8368425,0.0077472,1.2114507,1.1937264,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,0.5708563,0.0084134,0.6367312,0.8048618,start 2018-01-19 07:59:00,end 2019-06-07 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190930.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,10,28,37,30,,,,,,,,,,,63da8fa68e81f8afef622a05846e7f08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,1a079d50f9a5a639a7683c232f3c6fa1,c5b79717ff1d1bef8857a6083c446783,efb635a65e2d1bde1f367dc3b36ed625,,,,,,,,,,,,,,,,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,,fd7bb4e82f332ef272f63ffdf495ace7,,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249
,data_22_month,baseline,2024-01-04T19:56:35,,,0.8368425,0.0077472,1.2114507,1.1937264,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,0.5708563,0.0084134,0.6367312,0.8048618,start 2018-01-19 07:59:00,end 2019-06-07 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190930.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,10,28,37,30,,,,,,,,,,,63da8fa68e81f8afef622a05846e7f08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,1a079d50f9a5a639a7683c232f3c6fa1,c5b79717ff1d1bef8857a6083c446783,efb635a65e2d1bde1f367dc3b36ed625,,,,,,,,,,,,,,,,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,,fd7bb4e82f332ef272f63ffdf495ace7,,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249
,data_1.5_year,baseline,2023-12-16T13:34:08,,,0.8368425,0.0077472,1.2114507,1.1937264,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,0.5708563,0.0084134,0.6367312,0.8048618,start 2018-01-19 07:59:00,end 2019-06-07 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190930.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,10,28,37,30,,,,,,,,,,,63da8fa68e81f8afef622a05846e7f08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,1a079d50f9a5a639a7683c232f3c6fa1,c5b79717ff1d1bef8857a6083c446783,efb635a65e2d1bde1f367dc3b36ed625,,,,,,,,,,,,,,,,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,,fd7bb4e82f332ef272f63ffdf495ace7,,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249
chief-froe,323c012,branch_commit,2023-12-16T16:31:50,,,0.6479388,0.0080931,0.8532144,0.9165273,start 2018-02-08 00:59:00,end 2019-09-01 23:59:00,0.471179,0.0081497,0.4376762,0.6609689,start 2018-02-06 07:59:00,end 2019-09-17 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190930.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,28,28,37,30,,,,,,,a0274a73bfe042de8649f94190dfaaa6,,,,b4b61b05b1df7f1497426998966033ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636096579e87adbadd84130ee17edb46,c0eda3ee2ee9e7b51927dae13658ef2c,8ff92e13f904e863be5273195993d823,3d7fb0bb286c58aa76a0a8b704d1468e,05d77eeeaf313cd6c3938e0a9fe91add,a2625aefc0a146b1c32e6d75f1a146bd,94527d299d2c3facd48cd04ebe663105,,,,,,,,,,,,,,,,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,,fd7bb4e82f332ef272f63ffdf495ace7,,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249
licit-kana,905a623,branch_commit,2023-12-16T16:30:31,,,0.7592804,0.0080928,1.1679568,1.0746111,start 2018-02-08 00:59:00,end 2019-09-01 23:59:00,0.5828345,0.0081493,0.6696599,0.8180419,start 2018-02-06 07:59:00,end 2019-09-17 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190930.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,28,21,37,30,,,,,,,a0274a73bfe042de8649f94190dfaaa6,,,,b4b61b05b1df7f1497426998966033ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636096579e87adbadd84130ee17edb46,c0eda3ee2ee9e7b51927dae13658ef2c,8ff92e13f904e863be5273195993d823,3d7fb0bb286c58aa76a0a8b704d1468e,5d265337864abd1715a890e7c4595277,268193a51e1dc89d004dbc7b9e62e241,a7694b4c6635646564394311fe0f973a,,,,,,,,,,,,,,,,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,,fd7bb4e82f332ef272f63ffdf495ace7,,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249
strip-trug,cd3ed73,branch_commit,2023-12-16T16:29:08,,,1.1489958,0.0080896,2.596663,1.6411832,start 2018-02-08 00:59:00,end 2019-09-01 23:59:00,0.9441317,0.0081464,1.7565987,1.3366034,start 2018-02-06 07:59:00,end 2019-09-17 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190930.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,28,14,37,30,,,,,,,a0274a73bfe042de8649f94190dfaaa6,,,,b4b61b05b1df7f1497426998966033ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636096579e87adbadd84130ee17edb46,c0eda3ee2ee9e7b51927dae13658ef2c,8ff92e13f904e863be5273195993d823,3d7fb0bb286c58aa76a0a8b704d1468e,28c44d411484cab6a748e7db706c2611,6863a9a0279b3414484a06be344e13dc,7edf31b6c4852156e0ad6b5d326ba940,,,,,,,,,,,,,,,,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,,fd7bb4e82f332ef272f63ffdf495ace7,,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249
peaky-pear,a371b55,branch_commit,2023-12-16T16:27:47,,,0.8672695,0.0080892,1.6946903,1.2293775,start 2018-02-08 00:59:00,end 2019-09-01 23:59:00,0.7844859,0.0081455,1.237385,1.1082709,start 2018-02-06 07:59:00,end 2019-09-29 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190930.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,28,10,37,30,,,,,,,a0274a73bfe042de8649f94190dfaaa6,,,,b4b61b05b1df7f1497426998966033ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636096579e87adbadd84130ee17edb46,c0eda3ee2ee9e7b51927dae13658ef2c,8ff92e13f904e863be5273195993d823,3d7fb0bb286c58aa76a0a8b704d1468e,7e046fe5b55709c2eba45ffa73e0d7c9,b6253bb40a7219c42687e8c3cccf375d,cb931f417b752a2a935fabd671c019db,,,,,,,,,,,,,,,,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,,fd7bb4e82f332ef272f63ffdf495ace7,,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249
doped-outs,fd3fd21,branch_commit,2023-12-16T16:26:22,,,0.7906352,0.0080879,1.3684646,1.1224703,start 2018-02-08 00:59:00,end 2019-09-01 23:59:00,0.6203309,0.0081079,0.7637192,0.8733313,start 2018-02-06 07:59:00,end 2019-09-24 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190930.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,28,7,37,30,,,,,,,a0274a73bfe042de8649f94190dfaaa6,,,,b4b61b05b1df7f1497426998966033ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636096579e87adbadd84130ee17edb46,c0eda3ee2ee9e7b51927dae13658ef2c,8ff92e13f904e863be5273195993d823,3d7fb0bb286c58aa76a0a8b704d1468e,a32e0550b52360a2087db9d3a43fbc3b,8145244d92df8ae7e7b435d752a7f9b8,e564b0bd04ab2ecc1a3746e9132e956e,,,,,,,,,,,,,,,,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,,fd7bb4e82f332ef272f63ffdf495ace7,,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249
fiery-mast,760ac2c,branch_commit,2023-12-16T16:25:06,,,0.678318,0.0080891,0.8192678,0.9569523,start 2018-02-08 00:59:00,end 2019-09-01 23:59:00,0.6040739,0.0081455,0.6769124,0.8496183,start 2018-02-06 07:59:00,end 2019-09-29 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190930.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,28,5,37,30,,,,,,,a0274a73bfe042de8649f94190dfaaa6,,,,b4b61b05b1df7f1497426998966033ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636096579e87adbadd84130ee17edb46,c0eda3ee2ee9e7b51927dae13658ef2c,8ff92e13f904e863be5273195993d823,3d7fb0bb286c58aa76a0a8b704d1468e,5153849a8a611d0f55b9b2d9f8ef1994,a8fbea421b1cfc194972939952275a1c,8dba024ab14a26709e2b2d598156eae2,,,,,,,,,,,,,,,,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,,fd7bb4e82f332ef272f63ffdf495ace7,,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249
